id;name;energy,calculated (kJ);carbohydrate, available (g);fat, total (g);protein, total (g);alcohol (g);fibre, total (g);organic acids, total (g);sugar alcohols (g);starch, total (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);polysaccharides, non-cellulosic, water-soluble (g);fibre, water-insoluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
30214;Water Chestnut;407;20.9;0.1;1.4;0;3.0;N/A;0;16.1;4.8;0;N/A;N/A;0;N/A;2.8;N/A;N/A;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;32;5;0;0;0;N/A;11.0;<0.1;<0.1;584.0;22.0;14.0;35.7;63.0;0.7;0.5;N/A;16.0;1.0;1.0;1.80;0.20;0.14;0;4.0;0;0;0;1.2;0.30
11055;Watermelon, Without Skin;156;7.1;0.1;0.9;0;1.1;0.4;0;0;7.1;2.3;N/A;1.3;0;0;3.4;0.1;0;0.1;<0.1;<0.1;<0.1;0;0;<0.1;50;0;0;0;0;1.3;7.0;0.5;1.0;100.0;8.0;2.0;5.1;10.0;0.1;0.1;2.0;2.0;0.2;0.2;0.14;0.02;0.03;0;11.0;23.4;4861.8;0;<0.1;0.20
28931;Watermelon, With Skin;86;3.9;<0.1;0.5;0;0.6;0.2;0;0;3.9;1.3;N/A;0.7;0;0;1.9;<0.1;0;<0.1;<0.1;<0.1;<0.1;0;0;<0.1;28;0;0;0;0;0.7;3.9;0.3;0.6;55.0;4.4;1.1;2.8;5.5;<0.1;<0.1;1.1;1.1;0.1;0.1;0.08;0.01;0.02;0;6.0;12.9;2674.0;0;<0.1;0.11
116;Wheat Bran;1010;16.9;4.6;14.8;0;37.5;N/A;N/A;14.8;2.1;0.5;N/A;0.5;0;<0.1;1.1;1.2;36.3;3.8;2.4;0.8;0.7;0;0.2;2.2;2195;183;0;0;0;195.1;116.0;20.0;5.0;2260.0;822.0;1.0;2.5;1850.0;17.0;13.0;140.0;63.0;25.3;23.0;1.00;0.35;0.80;0;0;0.5;248.3;0;1.6;2.00
114;Wheat Flakes;1362;58.7;2.2;10.6;0;12.9;N/A;0;58.0;0.7;0.1;N/A;0.1;0;0;0.5;1.0;8.9;1.3;0.9;0.2;0.2;0;<0.1;0.8;792;61;0;0;0;74.4;25.0;5.0;30.0;440.0;114.0;4.0;10.2;330.0;9.5;3.3;160.0;50.0;7.7;5.0;0.24;0.08;0.19;0;0;0.4;224.1;0;1.0;2.60
115;Wheat Germ;1508;31.0;10.0;29.4;0;14.0;N/A;N/A;14.6;16.4;0.6;N/A;0.6;0;0;15.2;1.3;12.7;6.8;4.4;1.1;1.2;0;0.6;3.8;3825;568;0;0;0;411.4;41.0;8.9;5.0;1060.0;293.0;2.3;5.9;1000.0;9.5;17.8;340.0;213.0;9.9;4.2;0.65;0.63;1.70;0;0;5.1;848.7;0;22.1;4.00
1577;Wheat Grain, Boiled, Salt;496;21.2;1.0;4.2;0;4.0;0;0;20.1;1.0;<0.1;0;0.1;0;0.5;0.3;0.5;3.8;0.7;0.4;0.1;0.1;0;<0.1;0.4;417;32;0;0;0;29.8;15.3;1.8;14.5;167.0;48.6;194.5;495.6;139.2;3.1;1.2;64.0;18.0;2.5;2.0;0.14;0.06;0.12;0;0;0.1;89.6;0;0.4;1.04
1580;Wheat Grain, Boiled Without Salt;496;21.2;1.0;4.2;0;4.0;0;0;20.1;1.0;<0.1;0;0.1;0;0.5;0.3;0.5;3.8;0.7;0.4;0.1;0.1;0;<0.1;0.4;417;32;0;0;0;29.8;14.6;1.8;2.0;166.8;48.4;1.0;2.5;138.8;3.1;1.2;64.0;18.0;2.5;2.0;0.14;0.06;0.12;0;0;0.1;89.6;0;0.4;1.04
175;Wheat Grain, Crushed;1239;52.9;2.5;10.6;0;9.9;N/A;0;50.3;2.6;0.2;N/A;0.3;0;1.3;0.8;1.3;9.5;1.8;1.1;0.3;0.3;0;<0.1;1.0;1043;80;0;0;0;74.4;32.0;4.5;5.0;417.0;121.0;1.0;2.5;347.0;7.6;3.0;160.0;45.0;7.7;5.0;0.36;0.15;0.40;0;0;0.4;224.1;0;1.0;2.60
1286;Wheat Gruel, Milk, Wheat Flakes, Salt;282;8.6;1.7;3.8;0;0.8;0.2;0;3.6;5.0;<0.1;0;<0.1;5.0;0;<0.1;<0.1;0.6;1.6;<0.1;0.4;1.1;<0.1;<0.1;<0.1;71;9;0;0;6.6;4.6;126.7;0.4;29.1;183.0;18.7;243.2;619.8;114.1;3.4;0.6;55.9;5.2;1.1;0.4;0.07;0.16;0.04;0.4;0.7;12.0;23.0;1.0;<0.1;0.51
